id,country,city,title,logo,region,location
747,United States,Buffalo,University at Buffalo SUNY,https://www.topuniversities.com/sites/default/files/university-at-buffalo-suny_1888_small.jpg,North America,0101000020E61000005F984C158CB253C0B98D06F016804540
748,United States,College Park,University of Maryland, College Park",https://www.topuniversities.com/sites/default/files/university-of-maryland-college-park_393_small.jpg,North America,0101000020E61000006A4DF38E533C53C011363CBD527E4340
749,United States,West Lafayette,Purdue University,https://www.topuniversities.com/sites/default/files/purdue-university_510_small.jpg,North America,0101000020E6100000B3EA73B515BB55C058A835CD3B364440
750,United States,Minneapolis,University of Minnesota Twin Cities,https://www.topuniversities.com/sites/default/files/university-of-minnesota_408_small.jpg,North America,0101000020E6100000265305A3924E57C086C954C1A87C4640
751,United States,Chestnut Hill,Boston College,https://www.topuniversities.com/sites/default/files/boston-college_723_small.jpg,North America,0101000020E61000007B14AE47E1CA51C0508D976E122B4540
752,United States,East Lansing,Michigan State University,https://www.topuniversities.com/sites/default/files/michigan-state-university_402_small.jpg,North America,0101000020E61000006688635DDC1E55C0992A1895D4594540
753,United States,Amherst,University of Massachusetts Amherst,https://www.topuniversities.com/sites/default/files/university-of-massachusetts-amherst_592560cf2aeae70239af4c0e_small.jpg,North America,0101000020E610000004E78C28ED2152C0E10B93A982314540
754,United States,Madison,University of Wisconsin-Madison,https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg,North America,0101000020E610000066666666665A56C0D26F5F07CE894540
755,United States,Syracuse,Syracuse University,https://www.topuniversities.com/sites/default/files/syracuse-university_812_small.jpg,North America,0101000020E61000006ADE718A8E0853C03EE8D9ACFA844540
756,United States,Bethlehem,Lehigh University,https://www.topuniversities.com/sites/default/files/230407044833pm645648lehigh-official-stacked-logo-KO-cmyk-48x48.jpg,North America,0101000020E6100000C74B378941D852C0840D4FAF944D4440
