id,created_at,name,native_name
155,2025-02-13 05:07:15.83251+00,Telugu,తెలుగు
156,2025-02-13 05:07:15.83251+00,Tajik,"тоҷикӣ, toğikī, تاجیکی‎"
157,2025-02-13 05:07:15.83251+00,Thai,ไทย
158,2025-02-13 05:07:15.83251+00,Tigrinya,ትግርኛ
159,2025-02-13 05:07:15.83251+00,Tibetan,བོད་ཡིག
160,2025-02-13 05:07:15.83251+00,Turkmen,"Türkmen, Түркмен"
161,2025-02-13 05:07:15.83251+00,Tagalog,"Wikang Tagalog, ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔"
162,2025-02-13 05:07:15.83251+00,Tswana,Setswana
163,2025-02-13 05:07:15.83251+00,Tonga,faka Tonga
164,2025-02-13 05:07:15.83251+00,Turkish,Türkçe
165,2025-02-13 05:07:15.83251+00,Tsonga,Xitsonga
166,2025-02-13 05:07:15.83251+00,Tatar,"татарча, tatarça, تاتارچا‎"
167,2025-02-13 05:07:15.83251+00,Twi,Twi
168,2025-02-13 05:07:15.83251+00,Tahitian,Reo Tahiti
169,2025-02-13 05:07:15.83251+00,Uyghur,"Uyƣurqə, ئۇيغۇرچە‎"
170,2025-02-13 05:07:15.83251+00,Ukrainian,українська
171,2025-02-13 05:07:15.83251+00,Urdu,اردو
172,2025-02-13 05:07:15.83251+00,Uzbek,"zbek, Ўзбек, أۇزبېك‎"
173,2025-02-13 05:07:15.83251+00,Venda,Tshivenḓa
174,2025-02-13 05:07:15.83251+00,Vietnamese,Tiếng Việt
175,2025-02-13 05:07:15.83251+00,Volapük,Volapük
176,2025-02-13 05:07:15.83251+00,Walloon,Walon
177,2025-02-13 05:07:15.83251+00,Welsh,Cymraeg
178,2025-02-13 05:07:15.83251+00,Wolof,Wollof
179,2025-02-13 05:07:15.83251+00,Western Frisian,Frysk
180,2025-02-13 05:07:15.83251+00,Xhosa,isiXhosa
181,2025-02-13 05:07:15.83251+00,Yiddish,ייִדיש
182,2025-02-13 05:07:15.83251+00,Yoruba,Yorùbá
183,2025-02-13 05:07:15.83251+00,Zhuang,"Saɯ cueŋƅ, Saw cuengh"
